id,name,collection_name,description,icon_url,parental_category_name
61,民国法律,data_462,,/static/style/css/images/ymh_ZYFL_ico3-2.png,民国时期文献
24,民国图书,data_416,,/static/style/css/images/ymh_ZYFL_ico3-1.png,民国时期文献
65,博士论文,data_408,,/static/style/css/images/ymh_ZYFL_ico2-1.png,博士论文
1,电子图书,data_402,,/static/style/css/images/ymh_ZYFL_ico1-1.png,电子图书
10024,数字古籍,data_892,国家图书馆收藏古籍15万部，其中善本古籍直接继承了南宋缉熙殿、元翰林国史院、明文渊阁、清内阁大库等皇家珍藏，以及明清以来许多私人藏书家的毕生所聚。宋元旧椠、明清精刻琳琅满目。通过全彩影像数字化和缩微胶卷转化影像方式建设，从2016年9月28日起陆续在线发布。,/static/style/css/images/ymh_ZYFL_ico6-15.png,古籍资源
58,中国典籍与文化系列,data_713,,/static/style/css/images/ymh_ZYFL_ico4-5.png,音视频
6,文津讲坛,data_464,,/static/style/css/images/ymh_ZYFL_ico4-4.png,音视频
52,国图讲坛,data_712,,/static/style/css/images/ymh_ZYFL_ico4-3.png,音视频
50,文津读书沙龙,data_714,,/static/style/css/images/ymh_ZYFL_ico4-2.png,音视频
51,馆藏音像,data_463,,/static/style/css/images/ymh_ZYFL_ico4-1.png,音视频
60,民国报纸,data_1080,,/static/style/css/images/ymh_ZYFL_ico3-4.png,民国时期文献
35,民国期刊,data_404,,/static/style/css/images/ymh_ZYFL_ico3-3.png,民国时期文献
56,少年儿童资源,data_634,,/static/style/css/images/ymh_ZYFL_ico7-08.png,地方馆资源
63,少数民族资源,data_652,,/static/style/css/images/ymh_ZYFL_ico7-07.png,地方馆资源
53,地方视频资料,data_571,,/static/style/css/images/ymh_ZYFL_ico7-06.png,地方馆资源
48,老照片,data_531,,/static/style/css/images/ymh_ZYFL_ico7-05.png,地方馆资源
66,中国学汉学家,data_415,,/static/style/css/images/ymh_ZYFL_ico6-08.png,其他
46,碑帖,data_1020,,/static/style/css/images/ymh_ZYFL_ico7-13.png,地方馆资源
64,科普科教,data_812,,/static/style/css/images/ymh_ZYFL_ico7-11.png,地方馆资源
59,历史文化,data_912,,/static/style/css/images/ymh_ZYFL_ico7-12.png,地方馆资源
45,年画,data_612,,/static/style/css/images/ymh_ZYFL_ico7-10.png,地方馆资源
55,地方非物质遗产,data_633,,/static/style/css/images/ymh_ZYFL_ico7-09.png,地方馆资源
47,民国文献,data_511,,/static/style/css/images/ymh_ZYFL_ico7-03.png,地方馆资源
43,地方志,data_471,,/static/style/css/images/ymh_ZYFL_ico7-02.png,地方馆资源
42,地方馆特色资源,data_496,,/static/style/css/images/ymh_ZYFL_ico7-01.png,地方馆资源
105,珍秘公天下,data_035,,/static/style/css/images/ymh_ZYFL_ico6-N3.png,古籍资源
104,各地民族文字古籍特藏库,data_034,,/static/style/css/images/ymh_ZYFL_ico6-N2.png,古籍资源
102,民族文字古籍特藏库,data_033,,/static/style/css/images/ymh_ZYFL_ico6-N1.png,古籍资源
10022,法藏敦煌遗书,data_892,2015年，法国国家图书馆与中国国家图书馆达成合作意向，由法国国家图书馆向中国国家图书馆赠送馆藏全部敦煌遗书高清数字资源。在双方共同努力下，实现了这批敦煌遗书的数字化回归，并于2018年3月5日正式在线发布。,/static/style/css/images/ymh_ZYFL_ico6-21.png,古籍资源
14,哈佛大学善本特藏,data_442,哈佛大学哈佛燕京图书馆藏中文善本古籍特藏，以其质量之高、数量之大著称于世。为了方便海内外学人便捷地利用这些资料进行研究，同时以数字化形式保存这些中华古籍精品，2009年国家图书馆与哈佛大学哈佛燕京图书达成协议，对哈佛燕京图书馆所藏中文善本和齐如山专藏进行数字化。,/static/style/css/images/ymh_ZYFL_ico6-12.png,古籍资源
54,东文研汉籍影像库,data_466,东京大学东洋文化研究所收藏有大量中国古籍，其中包括东方文化学院东京研究所的旧藏以及大木幹一、长泽规矩也、仓石武四郎等各具特色的个人收藏。2009年11月，东洋文化研究所将所藏中文古籍上千余种，以数字化方式无偿提供给中国国家图书馆，在国图网站上面向读者提供服务。,/static/style/css/images/ymh_ZYFL_ico6-09.png,古籍资源
62,中华古籍善本联合书目,data_467,中华古籍善本国际联合书目系统是由中文善本书国际联合目录项目发展而来的新数据库，著录了三十余家海内外图书馆所藏古籍善本。,/static/style/css/images/ymh_ZYFL_ico6-10.png,古籍资源
28,上海图书馆家谱,data_512,上海图书馆现藏有家谱近3万余种30余万册共计365个姓氏，收藏的家谱覆盖全国27个省、自治区及直辖市，是国内外收藏中国家谱原件最多的公藏机构，有着“全球中国家谱第一藏”之美誉。国家图书馆与上海图书馆合作，征集该馆所藏明清家谱资源，在国图网站发布使用。,/static/style/css/images/ymh_ZYFL_ico6-22.png,古籍资源
10023,天津图书馆古籍,data_892,为进一步丰富古籍数字资源品种和版本，满足广大读者使用需求，天津图书馆向国家图书馆（国家古籍保护中心）提供明清古籍数字资源，资源经加工后，分批次发布。,/static/style/css/images/ymh_ZYFL_ico6-20.png,古籍资源
10025,云南图书馆古籍,data_892,云南省图书馆将该馆古籍数字资源提供国家图书馆（国家古籍保护中心），这批资源均是该馆所藏珍贵的、有代表性的古籍文献，特别是明代云南丽江木氏土司家族著述，更是明代少数民族汉文著述的代表。,/static/style/css/images/ymh_ZYFL_ico6-18.png,古籍资源
81,中华医药典籍,data_011,图书馆收藏的文献典籍是整理研究的基础资料，为使读者能够通过互联网检索、利用中医文献资源，国家图书馆（国家古籍保护中心）将逐步建设中华医药典藏资源库。,/static/style/css/images/ymh_ZYFL_ico6-23.png,古籍资源
40,徽州善本家谱,data_952,徽州善本家谱印刷资料数据库是中国国家图书馆与法国远东学院的合作项目，收录了中国国家图书馆藏善本古籍中的徽州家谱。,/static/style/css/images/ymh_ZYFL_ico6-14.png,古籍资源
36,前尘旧影,data_410,该资源库收录了国家图书馆收藏的新旧照片，真实生动地记录了过去的社会事件、历史人物、城乡面貌、名胜古迹和建筑服饰等，人们可从中解读出不同历史时期特定事物的形象特征和真实信息，具有十分重要的历史价值。,/static/style/css/images/ymh_ZYFL_ico6-07.png,古籍资源
29,年画撷英,data_409,国家图书馆收藏了杨柳青、朱仙镇等地制作的4000余幅年画作品，从中精选出一部分制作了该库，并为每种年画编写了内容说明，重点介绍了该年画的故事梗概、历史背景、制作特色和相关知识。,/static/style/css/images/ymh_ZYFL_ico6-06.png,古籍资源
33,西夏论著,data_417,包括西夏研究论文篇名数据1200余条。,/static/style/css/images/ymh_ZYFL_ico6-04.png,古籍资源
37,西夏文献,data_495,国家图书馆自1932年开始入藏甲骨，经多方搜求和国家拨交，现藏甲骨实物35651片，有罗振玉、孟定生、胡厚宣、刘体智、郭若愚、曾毅公等名家旧藏。其中刘体智旧藏甲骨最多，多达28450片。“甲骨拓片”资源库在线发布国家图书馆藏甲骨拓片影像及书目数据，目前正按计划逐年增加。,/static/style/css/images/ymh_ZYFL_ico6-02.png,古籍资源
34,碑帖菁华,data_418,,/static/style/css/images/ymh_ZYFL_ico6-05.png,古籍资源
30,宋人文集,data_411,国家图书馆精选所藏宋人文集善本二百七十五部，首选宋元刊本，次及明清精抄精刻，或经名家校勘题跋之本，通过缩微胶卷还原数字影像，并辅以详细书目建成本全文影像数据库，免费呈献公众利用。,/static/style/css/images/ymh_ZYFL_ico6-03.png,古籍资源
10021,赵城金藏,data_892,《赵城金藏》被誉为国家图书馆四大镇馆之宝之一。《赵城金藏》是在金代刻的一部大藏，因为它藏在赵城县（今属山西洪洞县）广胜寺，所以后人将它定名为《赵城金藏》。全藏约七千卷左右，六千多万字，现存四千余卷。2017年12月28日，国家图书馆《赵城金藏》正式发布。,/static/style/css/images/ymh_ZYFL_ico6-17.png,古籍资源
12,数字方志,data_403,地方志文献为我国所特有，也是国家图书馆独具特色的馆藏之一，所存文献数量与品质极高。该数据库以国家图书馆藏地方志文献建设，主要包括为清代（含清代）以前的方志资源。,/static/style/css/images/ymh_ZYFL_ico6-01.png,古籍资源

